"ID","Class","Sex","Age","State","Spawnsite","AdultOrDead","X_Coord","Y_Coord","Strategy"
108,"adult","M",12510,"Feeding",8,14808.6402125025,29.63187285,44.52269053,"W"
109,"adult","F",4998,"Feeding",15,5032.08159584459,29.30774944,44.11632759,"S"
110,"adult","F",12707,"Feeding",20,14025.1200370544,30.31069942,44.55341006,"S"
111,"adult","F",5406,"Feeding",19,24726.3430322682,30.59930931,44.59770466,"S"
112,"adult","M",4442,"Feeding",4,4462.1384464964,29.4417723,44.56521358,"W"
113,"adult","M",7113,"Feeding",18,13379.955934141,29.27258908,44.42701937,"S"
114,"adult","F",5072,"Feeding",14,5113.87271232251,28.94245822,44.40694973,"S"
115,"adult","F",4860,"Wintering",10,4860.56572671024,27.805513,44.325592,"W"
116,"adult","M",9373,"Feeding",15,11246.4621710904,30.07116139,45.45363318,"S"
117,"adult","F",7514,"Feeding",16,7533.54854635646,30.50699012,44.71767387,"S"
118,"adult","F",5374,"Feeding",15,6871.41485846346,30.28612771,45.20406655,"S"
119,"adult","F",9584,"Feeding",14,12273.5376657991,30.35287405,45.26762466,"S"
120,"adult","F",10302,"Feeding",5,12479.8127168657,30.04982783,45.49559556,"W"
121,"adult","F",6499,"Feeding",2,19806.4866808873,29.27399355,44.30132224,"W"
122,"adult","F",6984,"Feeding",17,11806.9026169947,29.9341165,45.19931627,"S"
123,"adult","F",10758,"Feeding",2,13445.9421034714,29.86730888,45.25754202,"W"
124,"adult","F",10074,"Feeding",19,10453.4674095347,29.39567172,44.26812254,"S"
125,"adult","F",6382,"Wintering",5,6555.52899047951,25.708919,43.695656,"W"
126,"adult","F",5367,"Feeding",14,7374.59547068831,29.98391358,44.54130895,"S"
127,"adult","F",14413,"Feeding",1,19688.2840180021,30.31750757,44.63844125,"W"
128,"adult","M",6806,"Feeding",11,7404.45022211806,29.83548622,44.37989894,"S"
129,"adult","M",6415,"Feeding",21,7922.83156985114,30.22162227,44.86096493,"S"
130,"adult","M",4480,"Wintering",6,5743.43541577947,25.708919,43.695656,"W"
131,"adult","M",22117,"Feeding",2,29658.6908434979,30.04502961,44.31255485,"W"
132,"adult","F",6128,"Feeding",4,7879.37644061726,29.74031574,45.12811329,"W"
133,"adult","M",8172,"Feeding",22,9127.05169579666,29.61031371,44.06788504,"S"
134,"adult","M",7680,"Feeding",9,7906.14956434725,30.06132832,44.84793476,"W"
135,"adult","M",5015,"Feeding",8,5714.29308104492,29.85276071,44.26457073,"W"
